Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP/Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Binary Happiness Score
Norway,1,7.53700017929077000,7.59444482058287000,7.47955553799868000,1.61646318435669000,1.53352355957031000,0.79666650295257600,0.63542258739471400,0.36201223731041000,0.31596383452415500,2.27702665328979000,1
Denmark,2,7.52199983596802000,7.58172806486487000,7.46227160707116000,1.48238301277161000,1.55112159252167000,0.79256552457809400,0.62600672245025600,0.35528048872947700,0.40077006816864000,2.31370735168457000,1
Iceland,3,7.50400018692017000,7.62203047305346000,7.38596990078688000,1.48063302040100000,1.61057400703430000,0.83355212211608900,0.62716263532638500,0.47554022073745700,0.15352655947208400,2.32271528244019000,1
Switzerland,4,7.49399995803833000,7.56177242040634000,7.42622749567032000,1.56497955322266000,1.51691174507141000,0.85813128948211700,0.62007057666778600,0.29054927825927700,0.36700728535652200,2.27671623229980000,1
Finland,5,7.46899986267090000,7.52754207581282000,7.41045764952898000,1.44357192516327000,1.54024672508240000,0.80915766954422000,0.61795085668563800,0.24548277258873000,0.38261154294014000,2.43018150329590000,1
Netherlands,6,7.37699985504150000,7.42742584124207000,7.32657386884093000,1.50394463539124000,1.42893922328949000,0.81069612503051800,0.58538448810577400,0.47048982977867100,0.28266182541847200,2.29480409622192000,1
Canada,7,7.31599998474121000,7.38440283536911000,7.24759713411331000,1.47920441627502000,1.48134899139404000,0.83455765247345000,0.61110091209411600,0.43553972244262700,0.28737151622772200,2.18726444244385000,1
New Zealand,8,7.31400012969971000,7.37951044186950000,7.24848981752992000,1.40570604801178000,1.54819512367249000,0.81675970554351800,0.61406213045120200,0.50000512599945100,0.38281670212745700,2.04645633697510000,1
Sweden,9,7.28399991989136000,7.34409487739205000,7.22390496239066000,1.49438726902008000,1.47816216945648000,0.83087515830993700,0.61292409896850600,0.38539925217628500,0.38439872860908500,2.09753799438477000,1
Australia,10,7.28399991989136000,7.35665122494102000,7.21134861484170000,1.48441493511200000,1.51004195213318000,0.84388679265976000,0.60160738229751600,0.47769924998283400,0.30118373036384600,2.06521081924438000,1
Israel,11,7.21299982070923000,7.27985325649381000,7.14614638492465000,1.37538242340088000,1.37628996372223000,0.83840399980545000,0.40598860383033800,0.33008265495300300,0.08524210005998610,2.80175733566284000,1
Costa Rica,12,7.07899999618530000,7.16811166629195000,6.98988832607865000,1.10970628261566000,1.41640365123749000,0.75950926542282100,0.58013164997100800,0.21461322903633100,0.10010658949613600,2.89863920211792000,1
Austria,13,7.00600004196167000,7.07066981211305000,6.94133027181029000,1.48709726333618000,1.45994496345520000,0.81532841920852700,0.56776618957519500,0.31647232174873400,0.22106036543846100,2.13850641250610000,1
